,0,1,2
0,00004cd6-4d72-3b69-8e7a-8f4a5d09750d.yml,BaYTricK,
1,0007f4e5-954c-3d7b-a08c-292eacb5c172.yml,tto173,
2,0014199c-68b0-32e7-936f-07baa360435a.yml,Limstox360,"{'home': {'world': '0d3982ce-45a9-4163-9f51-c5997ae4b00a', 'x': -6617.509377087052, 'y': 55.0, 'z': -4214.665216562043, 'yaw': -179.4744873046875, 'pitch': 1.0981262922286987, 'world-name': 'world'}, 'house': {'world': '0d3982ce-45a9-4163-9f51-c5997ae4b00a', 'x': 2814.6775313553376, 'y': 64.0, 'z': -1935.8555980585563, 'yaw': -179.6876220703125, 'pitch': -0.9019899368286133, 'world-name': 'world'}, 'builder': {'world': 'bb5e31e4-8d90-4a30-9af3-6449fb787f03', 'x': -1151.7122134872182, 'y': 33.0, 'z': -1156.6554539481328, 'yaw': -90.5411376953125, 'pitch': 52.35162353515625, 'world-name': 'Builder'}, 'event': {'world': '886c7d43-b736-498b-8648-cad06b6b21d1', 'x': -5970.810784184365, 'y': 4.0, 'z': -5954.348662216559, 'yaw': 3.3153076171875, 'pitch': 18.985366821289062, 'world-name': 'Event'}, 'nether': {'world': 'd097c14e-8288-4547-88dc-d9590a602c7b', 'x': -11.610108398877243, 'y': 34.0, 'z': -155.66503104613318, 'yaw': -84.98889923095703, 'pitch': 25.79999542236328, 'world-name': 'Nether'}, 'koh': {'world': '886c7d43-b736-498b-8648-cad06b6b21d1', 'world-name': 'Event', 'x': 1588.8248669452457, 'y': 8.0, 'z': -2728.725983102755, 'yaw': -165.8982696533203, 'pitch': 20.250228881835938}, 'lynix': {'world': '0d3982ce-45a9-4163-9f51-c5997ae4b00a', 'world-name': 'world', 'x': -4761.050127274373, 'y': 63.0, 'z': -2575.5197123534613, 'yaw': 151.54873657226562, 'pitch': -10.949738502502441}, 'spawnend': {'world': '7ed6cd7a-5308-4d6f-be72-6919769ec8ab', 'world-name': 'Test', 'x': 1416.396567317522, 'y': 4.0, 'z': -1938.3601900230403, 'yaw': -105.75135803222656, 'pitch': 3.2996950149536133}, 'spawncrea': {'world': 'bb5e31e4-8d90-4a30-9af3-6449fb787f03', 'world-name': 'Builder', 'x': -142.01728096020463, 'y': 3.0, 'z': 122.06447774193131, 'yaw': 144.1258544921875, 'pitch': 29.70005989074707}, 'dac': {'world': '0d3982ce-45a9-4163-9f51-c5997ae4b00a', 'world-name': 'world', 'x': -3909.7144035730876, 'y': 71.0, 'z': -7500.6833178655925, 'yaw': 154.209228515625, 'pitch': 15.300616264343262}, 't': {'world': 'bb5e31e4-8d90-4a30-9af3-6449fb787f03', 'world-name': 'Builder', 'x': -912.3770106053321, 'y': 63.0, 'z': -368.4434560467912, 'yaw': 87.4130859375, 'pitch': 59.25043487548828}, 'spawn': {'world': '0d3982ce-45a9-4163-9f51-c5997ae4b00a', 'world-name': 'world', 'x': 176.1929384163588, 'y': 63.0, 'z': 19.075552245845778, 'yaw': 66.4517822265625, 'pitch': 14.700179100036621}}"
3,001aa260-65d3-3dc5-9cd5-13fc0f19712f.yml,_Ghaster_,
4,0026f4d5-4d6d-34d9-8436-66e5885db7b7.yml,lilisan,
5,002e08cc-039d-3dcb-9fb6-dfad8e6441a7.yml,ParlonsSVP,
6,00307f86-a6ac-35fb-84a2-f96b1e7e0261.yml,gemmetasoeur,
7,0034d732-6b83-3b24-839a-79afac15a093.yml,MinecraftMom,
8,003f80cd-0753-30a1-97bf-36a8a65ba522.yml,mohamed9,
9,0041da79-d1a4-39cc-ad41-2616c04ce4df.yml,krome2404,"{'a': {'world': 'world', 'x': 1973.4805210549755, 'y': 88.0, 'z': -6176.137152785188, 'yaw': 319.2008056640625, 'pitch': 25.50020408630371, 'world-name': ''}}"
10,0043725c-338c-33b6-8ff3-e2b95323e37c.yml,Didi4210,
11,0046aefa-185c-3763-91ac-573c052d2c6c.yml,CrackedTest465,
12,004a9e1a-08c5-3a9b-b27f-eb6b7a8399cd.yml,CrackedTest12,
13,005af9b1-10d5-37cc-8b25-ac807615eb02.yml,Ambrouille,
14,0060438e-76bc-365c-ae38-d10eac6d22a9.yml,aIktJRR8sqUU,
15,00620fcb-a43d-3464-b7cf-04f932ee1ae0.yml,dmt888,
16,006526ce-9b75-327a-8ebc-2f5ead76ebaf.yml,Jxst_OldNews,
17,00682f39-41a7-325f-8627-6666ea5c63cc.yml,SUPERWOMAN,
18,00700162-f3f9-332b-875f-0dd11013e42c.yml,surcris,
19,0070ec2b-e3e3-3168-a9d7-30db515e1cf7.yml,icekrown,"{'fireduck056': {'world': 'world', 'x': -5820.284438960181, 'y': 70.0, 'z': 3854.9431961240266, 'yaw': -253.04901123046875, 'pitch': 17.549955368041992, 'world-name': ''}}"
20,0071d7e5-a93d-3b39-8308-745482b2d3bb.yml,llpop,"{'sese': {'world': 'world', 'x': -1063.1832339315727, 'y': 70.0, 'z': -2330.3148584416576, 'yaw': 46.85673904418945, 'pitch': 27.29999542236328, 'world-name': ''}}"
21,008162da-1d41-316c-bb9f-6a916384152d.yml,Machouard62,
22,0088a931-425c-3f06-8090-2d7dcc487d41.yml,Seiiki_,
23,00a17777-ced6-34ea-833e-8aa91423b320.yml,MedusaNox,"{'home': {'world': '15269e4b-e554-4ca6-a1f2-2672670f37ad', 'world-name': 'Althium', 'x': -1544.0075123190725, 'y': 70.0, 'z': -163.2717878019615, 'yaw': 140.40274047851562, 'pitch': 22.20000648498535}}"
24,00aa7057-7d82-36ce-a3a0-cd05b3152faf.yml,CrackedTest26,
25,00ad62cb-308a-3967-90c8-0d04e1f51836.yml,ZelbroumFR,
26,00afdb89-3145-3bbf-ab1c-febc3c9c4876.yml,vince22,"{'home': {'world': 'Ressource', 'x': 6916.422678998665, 'y': 79.0, 'z': -5104.2558469795995, 'yaw': -0.5999755859375, 'pitch': 2.5500051975250244, 'world-name': ''}}"
27,00b76c9d-f9f7-3ee3-ab18-6ac31ef0ef33.yml,The_deathcrystal,
28,00bacdd7-c1a2-39a3-bb63-b1e9e29ecf98.yml,pDIWBJvwniuD,
29,00e6c0e4-5f0b-30ec-807c-6388329760c1.yml,LordVanLahn,
30,00f4dbe5-d2b9-3139-b01e-31add72a9cc7.yml,Lou,
31,00facd40-ffbb-3355-a7fb-e97128b1fcf3.yml,xdemi07,
